incident_id,user_prompt,raw_chat_logs,generated_summary,human_faithfulness_score,human_relevancy_score
INC001,"Summarize the major incident","User: Server down. DBAdmin: Oracle DB crashed at 10pm. Fixed by reboot.","Oracle database crashed at 10pm and was fixed by reboot.",5,5
INC002,"Summarize the major incident","User: Network slow. NetAdmin: Switch 4 failed. Swapped it.","Switch 4 failed causing network issues. Replaced router.",3,5
INC003,"Summarize the major incident","User: VPN offline. IT: Restarted VPN service.","VPN service was restarted to restore access.",5,5
INC004,"Provide root cause and resolution summary","SRE1: Payment-service CrashLoopBackOff in prod. SRE2: Checked logs, OOMKilled at 512MB limit. SRE1: Bumped container memory limit to 1GB in deployment.yaml and redeployed. SRE2: Pods running 2/2 healthy now.","Payment service experienced CrashLoopBackOff due to an OOMKilled error at 512MB limit. The issue was resolved by increasing the memory limit to 1GB and redeploying.",5,5
INC005,"Summarize the major incident","OnCall: Getting 502 Bad Gateway alerts on ingress-nginx. SecOps: Ingress SSL cert expired at 00:00 UTC. OnCall: Triggered cert-manager renewal and verified certificate secret updated. Traffic normal.","API gateway threw 502 Bad Gateway errors due to an expired SSL certificate at midnight. Resolved by triggering cert-manager renewal and updating the certificate secret.",5,5
INC006,"Provide root cause and resolution summary","Dev: Microservices cannot resolve external hostnames. CoreDNS pods failed on worker-node-2 after node drain. DevOps: Deleted stale CoreDNS pods to reschedule on healthy nodes. CoreDNS restored.","Microservices failed DNS resolution because CoreDNS pods crashed following a node drain. CoreDNS was restored and the cluster was upgraded to Kubernetes 1.28.",3,4
INC007,"Summarize the major incident","OpsLead: Disk usage on Kafka broker-3 hit 98%. DataEng: Topic telemetry-events retention was set to 7 days instead of 24h. OpsLead: Executed log retention cleanup purging segments older than 24 hours. Disk usage back to 42%.","Kafka broker-3 reached 98% disk capacity due to misconfigured 7-day retention on telemetry-events. The issue was resolved by purging logs older than 24 hours reducing disk usage to 42%.",5,5
INC008,"Provide root cause and resolution summary","AppDev: High response latency on user profile API. DBA: Redis cluster memory hit maxmemory 16GB with noeviction policy, rejecting write commands. DBA: Updated redis config to allkeys-lru eviction policy and latency dropped to 12ms.","User profile API experienced high latency because Redis reached its 16GB maxmemory with noeviction policy. The DBA updated the policy to allkeys-lru, restoring normal response latency.",5,5
INC009,"Summarize the major incident","NetOps: Massive packet drop across US-East transit. ISP Cogent sent an errant BGP route withdrawal. NetOps: Rerouted outbound traffic through Telia transit provider at border routers. Packet loss dropped to 0%.","The network team noticed a major power failure in the Virginia datacenter and replaced the faulty generator batteries.",1,2
INC010,"Provide root cause and resolution summary","Backend: Orders table locked up during flash sale. LeadDBA: Deadlock between transaction 8812 and 8814 updating inventory. LeadDBA: Killed blocking PID 4092 using pg_terminate_backend. Queued orders cleared.","Orders table locked during a flash sale due to transaction deadlocks on inventory. Resolved by terminating the blocking process PID 4092.",5,5
